chrom	length	bases	mean	min	max
chr1	248956422	3150948780	12.657	0	83684
chr1_region	0	0	0.000	0	0
chr2	242193529	2436318116	10.059	0	3969
chr2_region	0	0	0.000	0	0
chr3	198295559	2123283793	10.708	0	121360
chr3_region	0	0	0.000	0	0
chr4	190214555	1854329478	9.749	0	9682
chr4_region	0	0	0.000	0	0
chr5	181538259	3321740690	18.298	0	22564
chr5_region	0	0	0.000	0	0
chr6	170805979	1635567168	9.576	0	1020
chr6_region	0	0	0.000	0	0
chr7	159345973	1919725140	12.048	0	575
chr7_region	0	0	0.000	0	0
chr8	145138636	1509016435	10.397	0	4000
chr8_region	0	0	0.000	0	0
chr9	138394717	1959290286	14.157	0	3614
chr9_region	0	0	0.000	0	0
chr10	133797422	1320038907	9.866	0	9980
chr10_region	0	0	0.000	0	0
chr11	135086622	1420495352	10.515	0	446
chr11_region	0	0	0.000	0	0
chr12	133275309	1448679530	10.870	0	1972
chr12_region	0	0	0.000	0	0
chr13	114364328	1050288420	9.184	0	2071
chr13_region	0	0	0.000	0	0
chr14	107043718	860553098	8.039	0	225
chr14_region	0	0	0.000	0	0
chr15	101991189	1255983124	12.315	0	597
chr15_region	0	0	0.000	0	0
chr16	90338345	994396735	11.007	0	18440
chr16_region	0	0	0.000	0	0
chr17	83257441	1033919499	12.418	0	4334
chr17_region	0	0	0.000	0	0
chr18	80373285	733602945	9.127	0	8439
chr18_region	0	0	0.000	0	0
chr19	58617616	577759994	9.856	0	3398
chr19_region	0	0	0.000	0	0
chr20	64444167	695058224	10.785	0	1509
chr20_region	0	0	0.000	0	0
chr21	46709983	518639351	11.103	0	15478
chr21_region	0	0	0.000	0	0
chr22	50818468	439760446	8.654	0	2755
chr22_region	0	0	0.000	0	0
chrX	156040895	5375954450	34.452	0	643
chrX_region	156040895	5375954450	34.452	0	643
chrY	57227415	64083095	1.120	0	1857
chrY_region	0	0	0.000	0	0
chrM	16569	31996554	1931.110	1651	3262
chrM_region	0	0	0.000	0	0
total	3088286401	37731429610	12.218	0	121360
total_region	156040895	5375954450	34.452	0	643
