ref	sample_name	total	primary	secondary	supplementary	unmapped	qcfail	duplicate	duplex	duplex_forming
chr1	SD407538	0	0	0	0	0	0	0	0	0
chr2	SD407538	0	0	0	0	0	0	0	0	0
chr3	SD407538	0	0	0	0	0	0	0	0	0
chr4	SD407538	0	0	0	0	0	0	0	0	0
chr5	SD407538	0	0	0	0	0	0	0	0	0
chr6	SD407538	0	0	0	0	0	0	0	0	0
chr7	SD407538	0	0	0	0	0	0	0	0	0
chr8	SD407538	0	0	0	0	0	0	0	0	0
chr9	SD407538	0	0	0	0	0	0	0	0	0
chr10	SD407538	0	0	0	0	0	0	0	0	0
chr11	SD407538	0	0	0	0	0	0	0	0	0
chr12	SD407538	0	0	0	0	0	0	0	0	0
chr13	SD407538	0	0	0	0	0	0	0	0	0
chr14	SD407538	0	0	0	0	0	0	0	0	0
chr15	SD407538	0	0	0	0	0	0	0	0	0
chr16	SD407538	0	0	0	0	0	0	0	0	0
chr17	SD407538	0	0	0	0	0	0	0	0	0
chr18	SD407538	0	0	0	0	0	0	0	0	0
chr19	SD407538	0	0	0	0	0	0	0	0	0
chr20	SD407538	0	0	0	0	0	0	0	0	0
chr21	SD407538	0	0	0	0	0	0	0	0	0
chr22	SD407538	0	0	0	0	0	0	0	0	0
chrX	SD407538	2656201	2313034	243178	99989	0	0	0	0	0
chrY	SD407538	0	0	0	0	0	0	0	0	0
chrM	SD407538	0	0	0	0	0	0	0	0	0
*	SD407538	2000915	0	0	0	2000915	0	0	0	0
