chrom	start	end	length	region	1X	10X	15X	20X	30X	avg_coverage
chrX	0	4400000	4400000	p22.33	91.83	90.48	90.04	89.54	86.1	78.1
chrX	4400000	6100000	1700000	p22.32	99.86	99.85	99.84	99.83	99.83	160.46
chrX	6100000	9600000	3500000	p22.31	100.0	99.99	99.99	99.99	99.99	166.3
chrX	9600000	17400000	7800000	p22.2	99.99	99.98	99.98	99.98	99.97	162.78
chrX	17400000	19200000	1800000	p22.13	99.98	99.97	99.97	99.97	99.97	163.87
chrX	19200000	21900000	2700000	p22.12	100.0	100.0	99.99	99.99	99.99	164.31
chrX	21900000	24900000	3000000	p22.11	99.99	99.98	99.98	99.97	99.97	161.79
chrX	24900000	29300000	4400000	p21.3	100.0	99.99	99.99	99.99	99.98	162.77
chrX	29300000	31500000	2200000	p21.2	100.0	99.98	99.98	99.97	99.97	162.68
chrX	31500000	37800000	6300000	p21.1	97.03	97.0	96.99	96.93	96.82	159.08
chrX	37800000	42500000	4700000	p11.4	100.0	99.99	99.99	99.99	99.98	162.4
chrX	42500000	47600000	5100000	p11.3	100.0	100.0	99.99	99.99	99.99	161.72
chrX	47600000	50100000	2500000	p11.23	92.79	92.68	92.64	92.63	92.57	156.16
chrX	50100000	54800000	4700000	p11.22	98.93	98.92	98.9	98.88	98.83	162.01
chrX	54800000	58100000	3300000	p11.21	100.0	99.99	99.99	99.98	99.98	163.93
chrX	58100000	61000000	2900000	p11.1	98.23	96.97	94.74	91.9	85.38	159.85
chrX	61000000	63800000	2800000	q11.1	98.17	92.84	87.75	83.06	75.41	114.19
chrX	63800000	65400000	1600000	q11.2	100.0	100.0	100.0	100.0	100.0	161.91
chrX	65400000	68500000	3100000	q12	99.99	99.98	99.98	99.97	99.97	162.4
chrX	68500000	73000000	4500000	q13.1	100.0	99.99	99.98	99.98	99.97	161.74
chrX	73000000	74700000	1700000	q13.2	100.0	99.99	99.99	99.99	99.99	162.53
chrX	74700000	76800000	2100000	q13.3	100.0	99.99	99.99	99.99	99.99	160.92
chrX	76800000	85400000	8600000	q21.1	100.0	99.99	99.98	99.98	99.98	162.22
chrX	85400000	87000000	1600000	q21.2	99.78	99.68	99.68	99.68	99.67	162.81
chrX	87000000	92700000	5700000	q21.31	100.0	99.99	99.98	99.98	99.98	156.34
chrX	92700000	94300000	1600000	q21.32	99.99	99.98	99.98	99.98	99.97	161.76
chrX	94300000	99100000	4800000	q21.33	99.99	99.98	99.97	99.97	99.97	162.34
chrX	99100000	103300000	4200000	q22.1	100.0	99.97	99.93	99.85	99.61	163.29
chrX	103300000	104500000	1200000	q22.2	99.97	99.97	99.95	99.93	99.87	164.15
chrX	104500000	109400000	4900000	q22.3	100.0	100.0	99.99	99.99	99.99	162.71
chrX	109400000	117400000	8000000	q23	97.63	97.6	97.59	97.58	97.56	160.05
chrX	117400000	121800000	4400000	q24	98.71	98.4	98.29	98.27	98.2	157.72
chrX	121800000	129500000	7700000	q25	99.99	99.98	99.98	99.98	99.97	162.45
chrX	129500000	131300000	1800000	q26.1	100.0	100.0	99.99	99.99	99.99	162.75
chrX	131300000	134500000	3200000	q26.2	99.9	99.89	99.88	99.88	99.88	162.64
chrX	134500000	138900000	4400000	q26.3	99.87	99.49	99.39	99.3	99.19	165.25
chrX	138900000	141200000	2300000	q27.1	99.99	99.97	99.89	99.87	99.8	166.1
chrX	141200000	143000000	1800000	q27.2	100.0	99.92	99.83	99.76	99.65	163.53
chrX	143000000	148000000	5000000	q27.3	98.93	98.82	98.81	98.79	98.78	161.16
chrX	148000000	156040895	8040895	q28	99.87	99.51	99.34	99.19	98.78	157.4
