chrom	length	bases	mean	min	max
chr1	248956422	299995713	1.205	0	8215
chr1_region	0	0	0.000	0	0
chr2	242193529	231646701	0.956	0	311
chr2_region	0	0	0.000	0	0
chr3	198295559	199523441	1.006	0	8312
chr3_region	0	0	0.000	0	0
chr4	190214555	176068614	0.926	0	771
chr4_region	0	0	0.000	0	0
chr5	181538259	312524631	1.722	0	1679
chr5_region	0	0	0.000	0	0
chr6	170805979	154709307	0.906	0	16
chr6_region	0	0	0.000	0	0
chr7	159345973	180367254	1.132	0	34
chr7_region	0	0	0.000	0	0
chr8	145138636	143056380	0.986	0	333
chr8_region	0	0	0.000	0	0
chr9	138394717	183012019	1.322	0	99
chr9_region	0	0	0.000	0	0
chr10	133797422	122813879	0.918	0	747
chr10_region	0	0	0.000	0	0
chr11	135086622	132416313	0.980	0	27
chr11_region	0	0	0.000	0	0
chr12	133275309	136040618	1.021	0	67
chr12_region	0	0	0.000	0	0
chr13	114364328	100086121	0.875	0	155
chr13_region	0	0	0.000	0	0
chr14	107043718	80922180	0.756	0	42
chr14_region	0	0	0.000	0	0
chr15	101991189	117421920	1.151	0	48
chr15_region	0	0	0.000	0	0
chr16	90338345	92578932	1.025	0	2018
chr16_region	0	0	0.000	0	0
chr17	83257441	93710651	1.126	0	204
chr17_region	0	0	0.000	0	0
chr18	80373285	69125483	0.860	0	621
chr18_region	0	0	0.000	0	0
chr19	58617616	50500378	0.862	0	31
chr19_region	0	0	0.000	0	0
chr20	64444167	64255496	0.997	0	144
chr20_region	0	0	0.000	0	0
chr21	46709983	46113935	0.987	0	1137
chr21_region	0	0	0.000	0	0
chr22	50818468	39632230	0.780	0	202
chr22_region	0	0	0.000	0	0
chrX	156040895	4926190335	31.570	0	513
chrX_region	156040895	4926190335	31.570	0	513
chrY	57227415	25187776	0.440	0	181
chrY_region	0	0	0.000	0	0
chrM	16569	2954735	178.329	110	320
chrM_region	0	0	0.000	0	0
total	3088286401	7980855042	2.584	0	8312
total_region	156040895	4926190335	31.570	0	513
